address,country,lat,long
# 1 LOFT,Singapore,1.312877,103.883538
# 1 SUITES,Singapore,1.312475,103.881544
1 CANBERRA,Singapore,1.438165,103.830079
1 KING ALBERT PARK,Singapore,1.336616,103.780255
1 MOULMEIN RISE,Singapore,1.319188,103.847179
1 NASSIM,Singapore,1.306917,103.826879
10 SHELFORD,Singapore,1.32591,103.812499
100 AM,Singapore,1.274929,103.843549
105 LORONG G,Singapore,1.31822,103.913093
11 AMBER ROAD,Singapore,1.299146,103.899208
111 EMERALD HILL,Singapore,1.305099,103.839199
16 @ AMBER,Singapore,1.299536,103.898841
18 SHELFORD,Singapore,1.327314,103.812824
18 WOODSVILLE,Singapore,1.329641,103.868131
1919,Singapore,1.287066,103.853561
2 RVG,Singapore,1.29645,103.834302
21 ANDERSON,Singapore,1.312645,103.828526
21 RICHARDS,Singapore,1.361946,103.881619
26 NEWTON,Singapore,1.31569,103.841598
28 IMPERIAL RESIDENCES,Singapore,1.311796,103.884863
28 RC SUITES,Singapore,1.309843,103.852972
28 SHELFORD,Singapore,1.329061,103.811764
283 STUDIO,Singapore,1.295765,103.839925
336 RIVER VALLEY,Singapore,1.29608,103.838509
368 THOMSON,Singapore,1.327207,103.84183
38 AMBER,Singapore,1.300745,103.900883
38 I SUITES,Singapore,1.311811,103.896249
3@PHILLIPS,Singapore,1.363765,103.874399
3@SANDILANDS,Singapore,1.361879,103.878148
3BHC,Singapore,1.356141,103.832438
448@EAST COAST,Singapore,1.308736,103.913452
57 @ KOVAN,Singapore,1.357461,103.880151
6 DERBYSHIRE,Singapore,1.315806,103.846
7 ON CHAPEL,Singapore,1.306956,103.907136
76 SHENTON,Singapore,1.273423,103.845534
8 @ MOUNT SOPHIA,Singapore,1.301469,103.846242
8 BASSEIN,Singapore,1.324074,103.848284
8 FARRER SUITES,Singapore,1.31481,103.854756
8 NAPIER,Singapore,1.306532,103.820487
8 RAJA,Singapore,1.32,103.820487
8 RODYK,Singapore,1.32,103.820487
833 M B RESIDENCES,Singapore,1.32,103.820487
8@WOODLEIGH,Singapore,1.32,103.820487
8M RESIDENCES,Singapore,1.32,103.820487
91 MARSHALL,Singapore,1.32,103.820487
A TREASURE TROVE,Singapore,1.32,103.820487
AA CENTRE,Singapore,1.32,103.820487
AALTO,Singapore,1.32,103.820487
ACORN,Singapore,1.32,103.820487
ACTION THEATRE,Singapore,1.32,103.820487
ADAM GREEN,Singapore,1.32,103.820487
ADAM PARK CONDOMINIUM,Singapore,1.32,103.820487
ADAM PLACE,Singapore,1.32,103.820487
ADELPHI PARK ESTATE,Singapore,1.32,103.820487
ADRIA,Singapore,1.32,103.820487
ADVANCE APARTMENTS,Singapore,1.32,103.820487
AFFLUENCE COURT,Singapore,1.32,103.820487
AIRSTREAM,Singapore,1.32,103.820487
AIRVIEW PARK,Singapore,1.32,103.820487
ALANA,Singapore,1.32,103.820487
ALBA,Singapore,1.32,103.820487
ALEGRIA,Singapore,1.32,103.820487
ALESSANDREA,Singapore,1.32,103.820487
ALEX RESIDENCES,Singapore,1.32,103.820487
ALEXIS,Singapore,1.32,103.820487
ALIAS VILLAS,Singapore,1.32,103.820487
ALLAMANDA GROVE,Singapore,1.32,103.820487
ALLAN VILLE,Singapore,1.32,103.820487
ALLSWORTH PARK,Singapore,1.32,103.820487
ALPHA APARTMENTS,Singapore,1.32,103.820487
ALTEZ,Singapore,1.32,103.820487
AMANINDA,Singapore,1.32,103.820487
AMARA SHOPPING CENTRE,Singapore,1.32,103.820487
AMARANDA GARDENS,Singapore,1.32,103.820487
AMARYLLIS VILLE,Singapore,1.32,103.820487
AMBER PARK,Singapore,1.32,103.820487
AMBER POINT,Singapore,1.32,103.820487
AMBER RESIDENCES,Singapore,1.32,103.820487
AMBER SKYE,Singapore,1.32,103.820487
AMBERGLADES,Singapore,1.32,103.820487
AMPAS APARTMENT,Singapore,1.32,103.820487
AMPAS COURT,Singapore,1.32,103.820487
AN CHUAN BUILDING,Singapore,1.32,103.820487
ANCHORPOINT SHOPPING CENTRE,Singapore,1.32,103.820487
ANDERSON HOUSE,Singapore,1.32,103.820487
ANGSANA PARK,Singapore,1.32,103.820487
ANGSANA@21,Singapore,1.32,103.820487
ANGULLIA PARK RESIDENCES @ ORCHARD,Singapore,1.32,103.820487
AO JIANG APARTMENTS,Singapore,1.32,103.820487
APARTMENT 8,Singapore,1.32,103.820487
APLETON VIEW,Singapore,1.32,103.820487
APOLLO GARDENS,Singapore,1.32,103.820487
AQUARINE GARDENS,Singapore,1.32,103.820487
AQUARIUS BY THE PARK,Singapore,1.32,103.820487
AQUENE,Singapore,1.32,103.820487
ARC AT TAMPINES,Singapore,1.32,103.820487
ARCHIPELAGO,Singapore,1.32,103.820487
ARDISIA GARDENS,Singapore,1.32,103.820487
ARDMORE II,Singapore,1.32,103.820487
ARDMORE PARK,Singapore,1.32,103.820487
ARDMORE RESIDENCE,Singapore,1.32,103.820487
ARDMORE THREE,Singapore,1.32,103.820487
AROOZOO CENTRE,Singapore,1.32,103.820487
ARTHUR 118,Singapore,1.32,103.820487
ARTHUR MANSIONS,Singapore,1.32,103.820487
ARTRA,Singapore,1.32,103.820487
ASCENT @ 456,Singapore,1.32,103.820487
ASCENTIA SKY,Singapore,1.32,103.820487
ASHLEY GREEN,Singapore,1.32,103.820487
ASIA GARDENS,Singapore,1.32,103.820487
ASIMONT VILLAS,Singapore,1.32,103.820487
ASPEN HEIGHTS,Singapore,1.32,103.820487
ASPEN LINQ,Singapore,1.32,103.820487
ASPEN LOFT,Singapore,1.32,103.820487
ASTON LODGE,Singapore,1.32,103.820487
ASTON MANSIONS,Singapore,1.32,103.820487
ASTON RESIDENCE,Singapore,1.32,103.820487
ASTOR,Singapore,1.32,103.820487
ASTOR GREEN,Singapore,1.32,103.820487
ASTORIA PARK,Singapore,1.32,103.820487
ASTRID MEADOWS,Singapore,1.32,103.820487
ASTRIDVILLE,Singapore,1.32,103.820487
ATELIER VILLAS,Singapore,1.32,103.820487
ATHENA VILLE,Singapore,1.32,103.820487
ATRIUM RESIDENCES,Singapore,1.32,103.820487
ATTITUDE AT KIM YAM,Singapore,1.32,103.820487
AURA 83,Singapore,1.32,103.820487
AURALIS,Singapore,1.32,103.820487
AUSTVILLE RESIDENCES,Singapore,1.32,103.820487
AVA TOWERS,Singapore,1.32,103.820487
AVALON,Singapore,1.32,103.820487
AVANT AT ALJUNIED,Singapore,1.32,103.820487
AVANT RESIDENCES,Singapore,1.32,103.820487
AVENUE VILLAS,Singapore,1.32,103.820487
AVILA GARDENS,Singapore,1.32,103.820487
AVILA TERRACE,Singapore,1.32,103.820487
AVON PARK,Singapore,1.32,103.820487
AXIS @ SIGLAP,Singapore,1.32,103.820487
AZALEA PARK CONDOMINIUM,Singapore,1.32,103.820487
